businessUnit_name,Description,Address,City,County,State,Postal Code,Business Unit #,Grocery delivery service offered,Grocery delivery status,Online grocery pickup service offered,Online grocery pickup status
"ROGERS, AR",WM Supercenter,2110 W WALNUT ST,ROGERS,BENTON,AR,72756-3246,1,Yes,,Yes,Not Available
"TUNKHANNOCK, PA",WM Supercenter,808 HUNTER HWY,TUNKHANNOCK,WYOMING,PA,18657-8071,2024,No,Available,No,Available
TAHLEQUAH OK,WM Supercenter,2020 S MUSKOGEE AVE,TAHLEQUAH,CHEROKEE,OK,74464-5439,10,No,,No,Available
"TRACY, CA",WM Supercenter,3010 W GRANT LINE RD,TRACY,SAN JOAQUIN,CA,95304-9402,2025,No,Not Available,No,Not Available
"BENTONVILLE, AR",WM Supercenter,406 S WALTON BLVD,BENTONVILLE,BENTON,AR,72712-5705,100,No,Not Available,No,Not Available
PONCE-PR,WM Supercenter,3305 AVE.BARAMAYA SUITE 100,PONCE,PONCE,PR,00728-0000,2026,,,Yes,
BROWNSVILLE TX,WM Supercenter,2721 BOCA CHICA BLVD,BROWNSVILLE,CAMERON,TX,78521-3501,1000,Yes,,Yes,Available
"LAVALE, MD",WM Supercenter,12500 COUNTRY CLUB MALL RD,LAVALE,ALLEGANY,MD,21502-7553,2027,Yes,Available,Yes,Available
"PUEBLO, CO",WM Supercenter,4080 W NORTHERN AVE,PUEBLO,PUEBLO,CO,81005-3503,1001,Yes,Available,Yes,Available
"RIVERSIDE (S), CA",WM Supercenter,5200 VAN BUREN BLVD,RIVERSIDE,RIVERSIDE,CA,92503-2544,2028,No,,Yes,
LINTON IN,WM Supercenter,2251 E STATE HIGHWAY 54,LINTON,GREENE,IN,47441-9498,1002,Yes,,Yes,
PLANO IL,WM Supercenter,6800 W US HIGHWAY 34,PLANO,KENDALL,IL,60545-9603,1003,No,,No,Available
BROOKFIELD MO,WM Supercenter,937 PARK CIRCLE DR,BROOKFIELD,LINN,MO,64628-7920,203,No,,Yes,
BRADENTON FL,WM Supercenter,5315 CORTEZ RD W,BRADENTON,MANATEE,FL,34210-2814,1004,No,Available,No,Available
"SONORA, CA",WM Supercenter,1101 SANGUINETTI ROAD,SONORA,TUOLUMNE,CA,95370-6214,2030,No,,No,Available
WAVERLY IA,WM Supercenter,2700 4TH ST SW,WAVERLY,BREMER,IA,50677-4351,1005,Yes,Available,Yes,Available
"UNION CITY, CA",Wal-Mart,30600 DYER ST,UNION CITY,ALAMEDA,CA,94587-1717,2031,Yes,,Yes,
CORDELE GA,WM Supercenter,1215 E 16TH AVE,CORDELE,CRISP,GA,31015-1543,1006,No,,Yes,
"OXNARD, CA",WM Supercenter,2001 N ROSE AVE,OXNARD,VENTURA,CA,93036-2681,2032,No,,No,
RICHLAND CENTER WI,WM Supercenter,2401 US HWY 14 E,RICHLAND CENTER,RICHLAND,WI,53581-2996,1007,No,,No,
MANDAN BISMARCK ND,WM Supercenter,1000 OLD RED TRL NW,MANDAN,MORTON,ND,58554-1591,2033,No,,No,Available
"LOVELAND (N), CO",WM Supercenter,250 W 65TH ST,LOVELAND,LARIMER,CO,80538-4668,1008,Yes,Available,Yes,Available
REPUBLIC MO,WM Supercenter,1150 US HIGHWAY 60 E,REPUBLIC,GREENE,MO,65738-1580,1009,No,Available,Yes,Available
ROLLA MO,WM Supercenter,500 S BISHOP AVE,ROLLA,PHELPS,MO,65401-4313,101,Yes,Available,Yes,Available
ROCKINGHAM NC,WM Supercenter,720 E US HIGHWAY 74,ROCKINGHAM,RICHMOND,NC,28379-7206,1010,No,Available,Yes,Available
RINCON GA,WM Supercenter,434 S COLUMBIA AVE,RINCON,EFFINGHAM,GA,31326-9079,1011,Yes,Available,Yes,Available
BEAVER DAM WI,WM Supercenter,120 FRANCES LN,BEAVER DAM,DODGE,WI,53916-1165,1012,No,,Yes,Available
CLINTON IN,Wal-Mart,1795 E STATE ROAD 163,CLINTON,VERMILLION,IN,47842-7327,1013,No,,Yes,
INDEPENDENCE MO,WM Supercenter,4000 S BOLGER RD,INDEPENDENCE,JACKSON,MO,64055-6776,1014,No,Available,No,Available
"EL PASO, TX",WM Supercenter,7555 N MESA ST,EL PASO,EL PASO,TX,79912-3505,1015,No,Available,No,Available
THIBODAUX LA,WM Supercenter,410 N CANAL BLVD,THIBODAUX,LAFOURCHE,LA,70301-2956,1016,No,Not Available,No,Not Available
MANNING SC,WM Supercenter,2010 PAXVILLE HWY,MANNING,CLARENDON,SC,29102-6434,1017,No,,Yes,Available
EASTMAN GA,WM Supercenter,1099 INDIAN DR,EASTMAN,DODGE,GA,31023-7663,1018,No,Not Available,No,Not Available
CANON CITY CO,WM Supercenter,3105 E US HIGHWAY 50,CANON CITY,FREMONT,CO,81212-2797,1019,Yes,,Yes,Available
STUTTGART AR,WM Supercenter,406 E 22ND ST,STUTTGART,ARKANSAS,AR,72160-9006,102,Yes,,Yes,
ALBERT LEA MN,WM Supercenter,1550 BLAKE AVE,ALBERT LEA,FREEBORN,MN,56007-6304,1020,No,,Yes,Available
WARRENTON MO,WM Supercenter,500 WARREN COUNTY CTR,WARRENTON,WARREN,MO,63383-3023,1021,No,,Yes,Available
TYLER (W) TX,WM Supercenter,3820 STATE HIGHWAY 64 W,TYLER,SMITH,TX,75704-6924,1022,No,Not Available,Yes,Not Available
GALAX VA,WM Supercenter,1140 E STUART DR,GALAX,GALAX CITY,VA,24333-2630,1023,No,Not Available,No,Not Available
SWAINSBORO GA,WM Supercenter,414 S MAIN ST,SWAINSBORO,EMANUEL,GA,30401-3676,1024,Yes,Available,Yes,Available
MCCOMB MS,WM Supercenter,1608 VETERANS BLVD,MCCOMB,PIKE,MS,39648-2031,1025,No,Not Available,Yes,Not Available
BEDFORD IN,WM Supercenter,3200 JOHN WILLIAMS BLVD,BEDFORD,LAWRENCE,IN,47421-9153,1026,No,,Yes,Not Available
CONCORD NC,WM Supercenter,150 CONCORD COMMONS PL SW,CONCORD,CABARRUS,NC,28027-5026,1027,No,,Yes,Available
"EAST PEORIA, IL",WM Supercenter,401 RIVER RD,EAST PEORIA,TAZEWELL,IL,61611-2063,1028,Yes,Available,Yes,Available
HOMOSASSA FL,WM Supercenter,6885 S SUNCOAST BLVD,HOMOSASSA,CITRUS,FL,34446-3404,1029,No,,No,Available
SHAWNEE OK,WM Supercenter,196 SHAWNEE MALL DR,SHAWNEE,POTTAWATOMIE,OK,74804-1337,103,No,,Yes,Available
LANCASTER SC,WM Supercenter,805 HWY 9 BYPASS WES,LANCASTER,LANCASTER,SC,29720-4773,1030,Yes,Not Available,Yes,Not Available
PANAMA CITY FL,WM Supercenter,2101 S HIGHWAY 77,LYNN HAVEN,BAY,FL,32444-4631,1032,Yes,Available,Yes,Available
SEYMOUR IN,WM Supercenter,1600 E TIPTON ST,SEYMOUR,JACKSON,IN,47274-3560,1033,No,,Yes,Available
SHELBY NC,WM Supercenter,705 E DIXON BLVD,SHELBY,CLEVELAND,NC,28152-6821,1034,No,Not Available,Yes,Not Available
SPARTANBURG SC,WM Supercenter,141 DORMAN CENTRE DR,SPARTANBURG,SPARTANBURG,SC,29301-2625,1035,No,Not Available,No,Available
"FOREST CITY, NC",WM Supercenter,197 PLAZA DR,FOREST CITY,RUTHERFORD,NC,28043-3712,1036,Yes,,Yes,Available
SUMMERVILLE SC,WM Supercenter,1317 N MAIN ST STE A1,SUMMERVILLE,BERKELEY,SC,29483-7342,1037,Yes,Available,Yes,Available
WASECA MN,WM Supercenter,2103 STATE ST N,WASECA,WASECA,MN,56093-2605,1038,Yes,Available,Yes,Available
MOUNT AIRY NC,WM Supercenter,2241 ROCKFORD ST,MOUNT AIRY,SURRY,NC,27030-5262,1039,No,,No,Available
MILAN TN,WM Supercenter,15427 S FIRST ST,MILAN,GIBSON,TN,38358-6475,104,No,,Yes,Not Available
HOUSTON (SPENCER) TX,WM Supercenter,15955 FM 529 RD,HOUSTON,HARRIS,TX,77095-2513,1040,No,Available,No,Available
WESLACO TX,WM Supercenter,1310 N TEXAS BLVD,WESLACO,HIDALGO,TX,78599-0000,1041,No,,Yes,Available
BASTROP TX,WM Supercenter,488 HIGHWAY 71 W,BASTROP,BASTROP,TX,78602-3731,1042,Yes,Available,Yes,Available
PAULS VALLEY OK,WM Supercenter,2008 W GRANT AVE,PAULS VALLEY,GARVIN,OK,73075-9230,1043,No,,No,
TYLER TX,WM Supercenter,5050 TROUP HWY,TYLER,SMITH,TX,75707-1916,1044,No,Available,Yes,Available
LAFAYETTE CO,WM Supercenter,745 US HIGHWAY 287,LAFAYETTE,BOULDER,CO,80026-8955,1045,Yes,,Yes,Available
CARRIZO SPRINGS TX,Wal-Mart,2214 N 1ST ST,CARRIZO SPRINGS,DIMMIT,TX,78834-2036,1046,No,,Yes,
MORROW GA,WM Supercenter,6065 JONESBORO RD,MORROW,CLAYTON,GA,30260-1106,1047,Yes,Available,Yes,Available
WILLIAMSBURG KY,WM Supercenter,589 W HIGHWAY 92,WILLIAMSBURG,WHITLEY,KY,40769-1684,1048,No,,No,
CORINTH MS,WM Supercenter,2301 S HARPER RD,CORINTH,ALCORN,MS,38834-6771,105,Yes,Available,Yes,Available
LEVELLAND TX,WM Supercenter,407 E STATE ROAD 114,LEVELLAND,HOCKLEY,TX,79336-2629,1051,No,,Yes,Available
FAYETTE AL,WM Supercenter,3186 HIGHWAY 171 N,FAYETTE,FAYETTE,AL,35555-6172,1052,No,,Yes,
LA GRANGE KY,WM Supercenter,1015 NEW MOODY LN,LA GRANGE,OLDHAM,KY,40031-9142,1053,Yes,,Yes,Available
ATCHISON KS,WM Supercenter,1920 HIGHWAY 73,ATCHISON,ATCHISON,KS,66002-5102,1054,No,,No,Available
GARLAND TX,WM Supercenter,5302 N GARLAND AVE,GARLAND,DALLAS,TX,75040-2715,1055,Yes,Available,Yes,Available
NEWCASTLE OK,WM Supercenter,3300 TRI CITY DR,NEWCASTLE,MCCLAIN,OK,73065-6599,1056,Yes,Available,Yes,Available
TALLASSEE AL EF,WM Supercenter,2190 GILMER AVENUE,TALLASSEE,ELMORE,AL,36078-7123,1057,No,,No,
MONTROSE CO,WM Supercenter,16750 S TOWNSEND AVE,MONTROSE,MONTROSE,CO,81401-5410,1058,No,,Yes,Available
FOREST MS,WM Supercenter,1309 HIGHWAY 35 S,FOREST,SCOTT,MS,39074-5010,1059,No,,Yes,Available
FULTON KY,WM Supercenter,1405 MIDDLE RD,FULTON,FULTON,KY,42041-7905,106,No,,Yes,
MORGANTON NC,WM Supercenter,G120 MORGANTON HEIGHTS BLVD,MORGANTON,BURKE,NC,28655-5210,1060,No,Available,No,Available
HAZELHURST GA,WM Supercenter,136 E JARMAN ST,HAZLEHURST,JEFF DAVIS,GA,31539-6130,1061,No,,No,
WEBSTER TX,WM Supercenter,150 W EL DORADO BLVD,FRIENDSWOOD,HARRIS,TX,77546-6500,1062,No,Available,Yes,Available
GENEVA AL,Wal-Mart,1608 W MAGNOLIA AVE,GENEVA,GENEVA,AL,36340-1237,1063,No,,No,
LENOIR NC,WM Supercenter,935 BLOWING ROCK BLVD,LENOIR,CALDWELL,NC,28645-3785,1064,Yes,Available,Yes,Available
HOPE AR,WM Supercenter,2400 N HERVEY ST,HOPE,HEMPSTEAD,AR,71801-8418,1065,No,,Yes,Available
PASCAGOULA MS,WM Supercenter,4253 DENNY AVE,PASCAGOULA,JACKSON,MS,39581-5502,1066,Yes,Available,Yes,Available
HALLETSVILLE TX,Wal-Mart,1506 N TEXANA ST,HALLETTSVILLE,LAVACA,TX,77964-2036,1067,No,,No,
SEBASTIAN FL,WM Supercenter,2001 US HIGHWAY 1,SEBASTIAN,INDIAN RIVER,FL,32958-1615,1068,No,Available,Yes,Available
NEWTON MS,WM Supercenter,231 EASTSIDE DR,NEWTON,NEWTON,MS,39345-8035,1069,No,,Yes,
MARTIN TN,WM Supercenter,134 COURTRIGHT RD,MARTIN,WEAKLEY,TN,38237-1606,107,No,Not Available,No,Available
ELLIJAY GA,WM Supercenter,88 HIGHLAND XING,EAST ELLIJAY,GILMER,GA,30540-6052,1070,No,,Yes,Available
WOOD RIVER IL,WM Supercenter,610 WESLEY DR,WOOD RIVER,MADISON,IL,62095-1894,1071,No,Available,Yes,Available
TIFTON GA,WM Supercenter,1830 US HIGHWAY 82 W,TIFTON,TIFT,GA,31793-8164,1072,No,,Yes,Available
LAMPASSAS TX,WM Supercenter,1710 CENTRAL TEXAS EXPY,LAMPASAS,LAMPASAS,TX,76550-3421,1073,Yes,Available,Yes,Available
GRENADA MS,WM Supercenter,1655 SUNSET DR,GRENADA,GRENADA,MS,38901-4061,1074,No,Available,Yes,Available
CLARKSVILLE TN,WM Supercenter,1680 FORT CAMPBELL BLVD,CLARKSVILLE,MONTGOMERY,TN,37042-3537,1075,No,Available,Yes,Available
MACON GA,WM Supercenter,1401 GRAY HWY,MACON,BIBB,GA,31211-1905,1076,No,Available,No,Available
"TALLAHASSEE, FL",WM Supercenter,3535 APALACHEE PKWY,TALLAHASSEE,LEON,FL,32311-5330,1077,Yes,Available,Yes,Available
BALLINGER TX,Wal-Mart,2005 HUTCHINS AVE,BALLINGER,RUNNELS,TX,76821-4427,1078,No,,No,
NEW SMYRNA BEACH FL,WM Supercenter,3155 STATE RD 44,NEW SMYRNA BEACH,VOLUSIA,FL,32168-8880,1079,No,Not Available,Yes,Not Available
GUTHRIE OK,WM Supercenter,1608 S DIVISION ST,GUTHRIE,LOGAN,OK,73044-5015,108,Yes,Available,Yes,Available
JOHNSON CITY TN,WM Supercenter,3111 BROWNS MILL RD,JOHNSON CITY,WASHINGTON,TN,37604-1418,1080,No,Available,No,Available
GAINESVILLE FL,WM Supercenter,2900 SW 42ND ST,GAINESVILLE,ALACHUA,FL,32608-2379,1081,Yes,Available,Yes,Available
JACKSONVILLE FL,WM Supercenter,10991 SAN JOSE BLVD STE 1,JACKSONVILLE,DUVAL,FL,32223-6600,1082,No,Not Available,Yes,Not Available
JACKSONVILLE FL,WM Supercenter,6830 NORMANDY BLVD,JACKSONVILLE,DUVAL,FL,32205-1902,1083,Yes,Available,No,Available
ORLANDO FL,Wal-Mart,3838 S SEMORAN BLVD,ORLANDO,ORANGE,FL,32822-4006,1084,Yes,,Yes,
PORT RICHEY FL,WM Supercenter,8701 US HIGHWAY 19,PORT RICHEY,PASCO,FL,34668-5349,1085,No,Available,No,Available
SAINT CLOUD FL,WM Supercenter,4400 13TH ST,SAINT CLOUD,OSCEOLA,FL,34769-6763,1086,No,Available,No,
STUART FL,WM Supercenter,4001 SE FEDERAL HWY,STUART,MARTIN,FL,34997-4909,1087,No,Available,Yes,Available
BILOXI MS,WM Supercenter,2681 CT SWITZER SR DR,BILOXI,HARRISON,MS,39531-4500,1088,Yes,Available,Yes,Available
KIMBALL /JASPER TN,WM Supercenter,525 KIMBALL CROSSING DR,KIMBALL,MARION,TN,37347-5649,1089,No,,Yes,Not Available
CAMERON MO,WM Supercenter,2000 N WALNUT ST,CAMERON,DEKALB,MO,64429-8800,109,Yes,Available,Yes,Available
JACKSONVILLE FL,WM Supercenter,6767 103RD ST,JACKSONVILLE,DUVAL,FL,32210-7135,1090,Yes,Available,Yes,Available
ANDALUSIA AL,WM Supercenter,1991 M. L. KING JR.,ANDALUSIA,COVINGTON,AL,36420-4145,1091,No,,Yes,Available
RANTOUL IL,WM Supercenter,845 BROADMEADOW RD,RANTOUL,CHAMPAIGN,IL,61866-2119,1093,Yes,Available,Yes,Available
RAYTOWN MO,WM Supercenter,10300 E HIGHWAY 350,RAYTOWN,JACKSON,MO,64138-1803,1094,No,Available,Yes,Available
GLENWOOD SPRINGS CO,Wal-Mart,3010 BLAKE AVE,GLENWOOD SPRINGS,GARFIELD,CO,81601-4400,1095,Yes,Not Available,Yes,Not Available
MOCKSVILLE NC,WM Supercenter,261 COOPER CREEK DR,MOCKSVILLE,DAVIE,NC,27028-5967,1096,Yes,,Yes,Available
"ABERDEEN, NC",WM Supercenter,250 TURNER ST,ABERDEEN,MOORE,NC,28315-2363,1097,Yes,Available,Yes,Available
PORT LAVACA TX,WM Supercenter,400 TINEY BROWNING BLVD,PORT LAVACA,CALHOUN,TX,77979-5215,1098,No,,Yes,
WICHITA KS,WM Supercenter,501 E PAWNEE ST,WICHITA,SEDGWICK,KS,67211-4944,1099,Yes,Available,Yes,Available
MOUNTAIN HOME AR,WM Supercenter,65 WALMART DR,MOUNTAIN HOME,BAXTER,AR,72653-6784,11,No,,No,Available
WINTER GARDEN FL,WM Supercenter,16313 NEW INDEPENDENCE PARKWAY,WINTER GARDEN,ORANGE,FL,34787-0000,110,Yes,Available,No,Available
HAMILTON AL,WM Supercenter,1706 MILITARY ST S,HAMILTON,MARION,AL,35570-5021,1100,Yes,Available,Yes,Available
WETUMPKA AL,WM Supercenter,4538 US HIGHWAY 231,WETUMPKA,ELMORE,AL,36092-3333,1101,No,,No,Available
HW CMO REVENUE,WM On Campus/RX Facilities,2608 SE J ST,BENTONVILLE,BENTON,AR,72716-5561,11017,,,,
BAKER LA,WM Supercenter,14507 PLANK RD,BAKER,EAST BATON ROUGE,LA,70714-5431,1102,Yes,Available,Yes,Available
HOUSTON (CORNERSTONE) TX,WM Supercenter,3450 FM 1960 RD W,HOUSTON,HARRIS,TX,77068-3606,1103,Yes,Available,Yes,Available
INVERNESS FL,WM Supercenter,2461 E GULF TO LAKE HWY,INVERNESS,CITRUS,FL,34453-3232,1104,No,,No,Available
NORTH LITTLE ROCK AR,WM Supercenter,4450 E MCCAIN BLVD,NORTH LITTLE ROCK,PULASKI,AR,72117-2519,1105,No,Available,Yes,Available
"VIDALIA, LA",WM Supercenter,4283 CARTER ST,VIDALIA,CONCORDIA,LA,71373-3148,1106,No,,Yes,Not Available
OAKDALE LA,WM Supercenter,1900 HIGHWAY 165 S,OAKDALE,ALLEN,LA,71463-5098,1107,No,,Yes,
"OAK GROVE, LA",WM Supercenter,705 S CONSTITUTION AVE,OAK GROVE,WEST CARROLL,LA,71263-9095,1108,No,,Yes,
RAYVILLE LA,WM Supercenter,1806 JULIA ST,RAYVILLE,RICHLAND,LA,71269-5560,1109,No,,No,Available
CHANUTE KS,WM Supercenter,2700 S SANTA FE AVE,CHANUTE,NEOSHO,KS,66720-3204,111,Yes,Available,Yes,Available
FARMERVILLE LA,WM Supercenter,833 STERLINGTON HWY,FARMERVILLE,UNION,LA,71241-3805,1110,Yes,Available,Yes,Available
HARTWELL GA,WM Supercenter,1572 ANDERSON HWY,HARTWELL,HART,GA,30643-7197,1111,No,Available,Yes,Available
THOMASTON GA,WM Supercenter,855 N CHURCH ST,THOMASTON,UPSON,GA,30286-3622,1112,No,,Yes,
"LONDON, KY",WM Supercenter,1851 HIGHWAY 192 W,LONDON,LAUREL,KY,40741-3032,1113,Yes,,Yes,Not Available
"MOUNTAIN VIEW, AR",WM Supercenter,409 SYLAMORE AVE,MOUNTAIN VIEW,STONE,AR,72560-8607,1114,No,,Yes,
HOHENWALD TN,WM Supercenter,612 E MAIN ST,HOHENWALD,LEWIS,TN,38462-2008,1115,Yes,Available,Yes,Available
DUNCAN OK,WM Supercenter,3393 N 81 HWY,DUNCAN,STEPHENS,OK,73533-1413,1116,No,,Yes,Available
PLANO TX,WM Supercenter,6001 N CENTRAL EXPY,PLANO,COLLIN,TX,75023-4702,1117,No,Available,No,Available
BALCH SPRINGS TX,WM Supercenter,12300 LAKE JUNE RD,BALCH SPRINGS,DALLAS,TX,75180-1636,1118,No,Available,Yes,Available
NAPLES FL,Wal-Mart,3451 TAMIAMI TRL E,NAPLES,COLLIER,FL,34112-4942,1119,No,,Yes,
STARKVILLE MS,WM Supercenter,1010 HIGHWAY 12 W,STARKVILLE,OKTIBBEHA,MS,39759-9167,112,Yes,Available,Yes,Available
GLADSTONE MO,WM Supercenter,7207 N M1 HWY,GLADSTONE,CLAY,MO,64119-5351,1120,No,Available,Yes,Available
MILLEDGEVILLE GA,WM Supercenter,2592 N COLUMBIA ST,MILLEDGEVILLE,BALDWIN,GA,31061-8709,1121,No,,Yes,Available
EASTANOLLEE GA,WM Supercenter,3886 HIGHWAY 17 ALT,EASTANOLLEE,STEPHENS,GA,30538-3808,1122,No,,Yes,Available
SENECA SC,WM Supercenter,1636 SANDIFER BLVD,SENECA,OCONEE,SC,29678-0906,1123,Yes,,Yes,Available
HARTSELLE AL,WM Supercenter,1201 HIGHWAY 31 NW,HARTSELLE,MORGAN,AL,35640-4420,1124,No,Available,No,Available
"NORMAL, IL",WM Supercenter,300 GREENBRIAR DR,NORMAL,MCLEAN,IL,61761-2278,1125,Yes,Available,Yes,Available
BOERNE TX,WM Supercenter,1381 S MAIN ST,BOERNE,KENDALL,TX,78006-2846,1126,Yes,Available,Yes,Available
MARKSVILLE LA,WM Supercenter,7162 HIGHWAY 1,MARKSVILLE,AVOYELLES,LA,71350-4351,1128,Yes,Available,Yes,Available
"AUSTIN (NW), TX",WM Supercenter,13201 RANCH ROAD 620 N,AUSTIN,TRAVIS,TX,78717-1011,1129,No,Available,No,Available
CHICKASHA OK,WM Supercenter,2001 S 1ST ST,CHICKASHA,GRADY,OK,73018-6007,113,Yes,Available,Yes,Available
LAURENS SC,WM Supercenter,922 E MAIN ST,LAURENS,LAURENS,SC,29360-3616,1130,Yes,Available,Yes,Available
TAYLORSVILLE NC,WM Supercenter,901 NC HIGHWAY 16 S,TAYLORSVILLE,ALEXANDER,NC,28681-8941,1131,Yes,Available,Yes,Available
ASHEBORO NC,WM Supercenter,1226 E DIXIE DR,ASHEBORO,RANDOLPH,NC,27203-8856,1132,No,Available,No,Available
ALBEMARLE NC,WM Supercenter,781 LEONARD AVE,ALBEMARLE,STANLY,NC,28001-5257,1133,No,,Yes,Available
DE FUNIAK SPRINGS FL,WM Supercenter,1226 FREEPORT HWY S,DEFUNIAK SPRINGS,WALTON,FL,32435-3396,1134,Yes,Available,Yes,Available
HARTSVILLE SC,WM Supercenter,1150 S 4TH ST,HARTSVILLE,DARLINGTON,SC,29550-0705,1135,Yes,Available,Yes,Available
PORT ALLEN LA,WM Supercenter,3255 LA HIGHWAY 1 S,PORT ALLEN,WEST BATON ROUGE,LA,70767-5858,1136,Yes,Available,Yes,Available
HOUSTON (UVALDE) TX,WM Supercenter,13750 EAST FWY,HOUSTON,HARRIS,TX,77015-5929,1137,No,,No,
MADISON WI,Wal-Mart,7202 WATTS RD,MADISON,DANE,WI,53719-2302,1138,Yes,Available,Yes,Available
MOREHEAD KY,WM Supercenter,200 WALMART WAY,MOREHEAD,ROWAN,KY,40351-7217,1139,No,,No,
BOONEVILLE MS,WM Supercenter,300 WALMART CIR,BOONEVILLE,PRENTISS,MS,38829-1018,114,No,,Yes,
"MT.STERLING, KY",WM Supercenter,499 INDIAN MOUND DR,MOUNT STERLING,MONTGOMERY,KY,40353-1096,1140,No,,Yes,Available
GREENFIELD IN,WM Supercenter,1965 N STATE ST,GREENFIELD,HANCOCK,IN,46140-1089,1141,No,Available,Yes,Available
SCOTTSBERG IN,WM Supercenter,1618 W MCCLAIN AVE,SCOTTSBURG,SCOTT,IN,47170-1161,1142,No,,Yes,
SANDERSVILLE GA,WM Supercenter,1308 S HARRIS ST,SANDERSVILLE,WASHINGTON,GA,31082-6913,1143,Yes,Available,Yes,Available
YORK SC,WM Supercenter,970 E LIBERTY ST,YORK,YORK,SC,29745-1662,1144,No,,Yes,
MONCKS CORNER SC,WM Supercenter,511 N HIGHWAY 52,MONCKS CORNER,BERKELEY,SC,29461-3132,1146,No,,No,Available
FLIPPIN AR,WM Supercenter,168 WALMART DR,FLIPPIN,MARION,AR,72634-8660,1147,No,,No,Available
WICHITA FALLS TX,WM Supercenter,3130 LAWRENCE RD,WICHITA FALLS,WICHITA,TX,76308-1607,1148,Yes,Available,Yes,Available
"SAFFORD, AZ",WM Supercenter,755 S 20TH AVE,SAFFORD,GRAHAM,AZ,85546-3322,1149,No,,No,Available
"WEST POINT, MS",WM Supercenter,5509 HIGHWAY 45 ALT S,WEST POINT,CLAY,MS,39773-9353,115,No,,Yes,
COLLEGE STATION TX,WM Supercenter,1815 BROTHERS BLVD,COLLEGE STATION,BRAZOS,TX,77845-5413,1150,No,Not Available,No,Not Available
KANSAS CITY KS,WM Supercenter,10824 PARALLEL PKWY,KANSAS CITY,WYANDOTTE,KS,66109-3649,1151,Yes,Available,Yes,Available
SIOUX CENTER IA,WM Supercenter,255 16TH ST SW,SIOUX CENTER,SIOUX,IA,51250-2959,1152,No,,Yes,
MACON GA,WM Supercenter,6020 HARRISON RD,MACON,BIBB,GA,31206-4742,1153,Yes,,Yes,
FREDERICKSBURG TX,WM Supercenter,1435 E MAIN ST,FREDERICKSBURG,GILLESPIE,TX,78624-5273,1154,Yes,Available,Yes,Available
LUMBERTON NC,WM Supercenter,5070 FAYETTEVILLE RD,LUMBERTON,ROBESON,NC,28358-2108,1155,No,Not Available,No,Not Available
MOORESVILLE NC,WM Supercenter,169 NORMAN STATION BLVD,MOORESVILLE,IREDELL,NC,28117-6396,1156,Yes,Not Available,Yes,Available
N VERNON IN,WM Supercenter,2410 N STATE HWY 3,NORTH VERNON,JENNINGS,IN,47265-6589,1157,No,,Yes,
"ADAMSVILLE, AL",WM Supercenter,2473 HACKWORTH RD,ADAMSVILLE,JEFFERSON,AL,35214-1909,1158,No,Available,Yes,Available
NEW TAZEWELL TN,Wal-Mart,432 S BROAD ST,NEW TAZEWELL,CLAIBORNE,TN,37825-7239,1159,No,,Yes,
VIVIAN LA,Wal-Mart,929 S PINE ST,VIVIAN,CADDO,LA,71082-3364,116,No,,Yes,
AURORA IN,WM Supercenter,100 SYCAMORE ESTATES DR,AURORA,DEARBORN,IN,47001-1488,1160,Yes,Available,Yes,Available
ST CHARLES MO,WM Supercenter,2897 VETERANS MEMORIAL PKWY,SAINT CHARLES,ST. CHARLES,MO,63303-3526,1161,Yes,,Yes,
WASHINGTON IN,WM Supercenter,1801 S STATE ROAD 57,WASHINGTON,DAVIESS,IN,47501-4326,1162,Yes,Available,Yes,Available
GRETNA LA,WM Supercenter,4001 BEHRMAN PL,NEW ORLEANS,JEFFERSON,LA,70114-0932,1163,Yes,Not Available,Yes,Available
COLUMBIA SC,WM Supercenter,360 HARBISON BLVD,COLUMBIA,LEXINGTON,SC,29212-2248,1164,No,Not Available,No,Not Available
RADCLIFF KY,WM Supercenter,1165 WALMART WAY,RADCLIFF,HARDIN,KY,40160-1471,1165,No,Available,Yes,Available
ELIZABETHTOWN NC,Wal-Mart,1347 W BROAD ST,ELIZABETHTOWN,BLADEN,NC,28337-9548,1166,No,,No,
KENOSHA WI,WM Supercenter,3500 BRUMBACK BLVD,KENOSHA,KENOSHA,WI,53144-4816,1167,No,Available,No,Available
COLUMBIA MS,WM Supercenter,1001 HIGHWAY 98 BYP,COLUMBIA,MARION,MS,39429-3741,1168,No,,Yes,Available
SPRINGHILL LA,WM Supercenter,1920 S ARKANSAS ST,SPRINGHILL,WEBSTER,LA,71075-4320,1169,No,,Yes,
BROKEN BOW OK,Wal-Mart,501 S PARK DR,BROKEN BOW,MCCURTAIN,OK,74728-5329,117,No,,Yes,
LOUISVILLE KY,WM Supercenter,10445 DIXIE HWY,LOUISVILLE,JEFFERSON,KY,40272-3953,1170,No,,Yes,
SARASOTA FL,WM Supercenter,8320 LOCKWOOD RIDGE RD,SARASOTA,MANATEE,FL,34243-2902,1171,No,,No,
JACKSONVILLE BEACH FL,WM Supercenter,13490 BEACH BLVD,JACKSONVILLE,DUVAL,FL,32224-0290,1172,Yes,Available,Yes,Available
JACKSONVILLE FL,WM Supercenter,8808 BEACH BLVD,JACKSONVILLE,DUVAL,FL,32216-4621,1173,No,Available,Yes,Available
THOMASVILLE AL,WM Supercenter,34301 HIGHWAY 43,THOMASVILLE,CLARKE,AL,36784-3341,1174,No,,No,
